Div,Date,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
I1,2014-08-30,Chievo,Juventus,72,81,73,83,73,80,71,80,40,35,27,27,62.05,329.0,0,1,A,0.0,1.0,A,7,21,2,3,13,14,4,11,2.0,1,0,0,0.5,2.37,0.16,1.64,0.23,2.65,9.65,3.83,7.0,4.0,1.5,6.0,3.9,1.55,5.6,3.9,1.55,7.75,4.12,1.54,6.0,4.0,1.55,8.0,4.0,1.53,8.35,3.84,1.56
I1,2014-08-30,Roma,Fiorentina,79,78,78,78,80,78,79,77,43,49,25,25,276.78,216.13,2,0,H,1.0,0.0,H,20,10,5,4,15,17,2,0,4.0,4,0,0,2.24,0.38,2.06,0.3,2.68,0.21,8.57,16.5,1.67,3.8,5.0,1.75,3.65,4.5,1.7,3.6,4.7,1.74,3.92,5.32,1.75,3.6,4.75,1.73,3.8,5.4,1.73,3.8,5.56
I1,2014-08-31,Atalanta,Verona,73,72,72,71,73,71,72,70,42,38,26,26,83.48,41.8,0,0,D,0.0,0.0,D,11,9,1,3,17,16,6,2,2.0,3,0,0,0.88,0.73,0.83,0.59,1.47,1.16,8.32,11.81,2.05,3.4,3.6,2.1,3.2,3.6,2.1,3.3,3.3,2.11,3.36,3.95,2.15,3.25,3.5,2.1,3.3,3.75,2.07,3.47,3.99
I1,2014-08-31,Cesena,Parma,68,73,69,75,65,70,68,73,37,55,25,25,34.15,65.95,1,0,H,1.0,0.0,H,9,12,5,1,10,19,4,7,2.0,1,0,0,1.09,0.44,0.63,0.28,2.01,0.69,25.42,9.22,3.1,3.2,2.35,3.0,3.1,2.4,2.85,3.2,2.4,3.43,3.2,2.4,3.1,3.1,2.4,3.5,3.1,2.4,5.44,3.65,1.76
I1,2014-08-31,Genoa,Napoli,73,78,75,80,70,79,72,75,48,34,25,26,117.33,262.18,1,2,A,1.0,1.0,D,11,15,5,5,10,10,7,5,3.0,1,0,0,0.52,1.79,0.44,1.63,0.42,2.39,12.28,9.73,3.9,3.4,1.95,3.5,3.4,2.05,3.3,3.3,2.1,4.0,3.58,2.04,3.6,3.4,2.05,3.4,3.4,2.05,3.92,3.54,2.07
I1,2014-08-31,AC Milan,Lazio,78,77,78,78,78,76,77,76,47,36,25,26,236.13,167.55,3,1,H,1.0,0.0,H,7,19,4,4,10,20,0,10,2.0,3,0,0,2.01,2.04,1.14,0.77,1.34,1.39,11.83,6.86,2.0,3.4,3.75,2.0,3.4,3.65,2.0,3.3,3.6,2.05,3.51,4.03,1.91,3.5,4.0,2.05,3.4,4.2,2.13,3.18,4.28
I1,2014-08-31,Palermo,Sampdoria,70,72,68,72,68,72,70,71,40,41,24,25,92.6,132.229999,1,1,D,1.0,0.0,H,8,10,1,3,15,18,1,7,1.0,2,0,1,0.92,0.8,0.78,0.68,1.44,1.2,12.79,6.67,2.2,3.25,3.3,2.25,3.2,3.2,2.1,3.3,3.3,2.24,3.29,3.7,2.2,3.2,3.4,2.25,3.2,3.7,2.26,3.29,3.64
I1,2014-08-31,Sassuolo,Cagliari,72,72,73,73,70,71,71,71,41,36,26,24,91.03,74.7,1,1,D,1.0,1.0,D,13,10,5,4,22,26,4,4,3.0,2,0,0,1.08,0.85,0.94,0.8,1.52,1.15,13.08,5.16,2.3,3.4,3.0,2.3,3.4,2.95,2.3,3.3,2.9,2.32,3.57,3.24,2.38,3.4,2.9,2.3,3.5,3.25,2.03,3.71,3.89
I1,2014-08-31,Torino,Inter,75,78,78,78,73,76,76,79,45,44,26,24,82.58,260.7,0,0,D,0.0,0.0,D,11,14,2,2,9,10,6,10,1.0,1,0,1,1.1,1.31,0.31,1.26,1.17,1.51,13.39,8.87,3.1,3.3,2.3,3.0,3.3,2.3,2.75,3.3,2.4,3.32,3.46,2.33,3.1,3.3,2.3,3.4,3.25,2.38,2.77,3.34,2.78
I1,2014-08-31,Udinese,Empoli,74,68,75,69,72,67,74,67,50,40,23,23,107.18,54.03,2,0,H,0.0,0.0,D,15,13,5,2,10,9,3,9,2.0,2,0,0,1.69,0.69,1.28,0.69,2.19,0.58,12.09,15.94,1.8,3.5,4.5,1.83,3.5,4.25,1.8,3.5,4.2,1.83,3.64,5.04,1.83,3.5,4.4,1.85,3.5,5.0,1.77,3.69,5.48
I1,2014-09-13,Empoli,Roma,68,79,69,78,67,80,67,79,40,43,23,25,54.03,276.78,0,1,A,0.0,1.0,A,17,5,3,2,4,10,7,0,0.0,1,0,0,0.59,1.37,0.45,1.2,0.58,2.17,11.94,8.76,5.5,3.75,1.62,6.0,3.9,1.62,5.4,3.7,1.6,6.76,4.21,1.57,6.0,3.8,1.57,7.0,4.0,1.57,6.1,3.68,1.71
I1,2014-09-13,Juventus,Udinese,81,74,83,75,80,72,80,74,35,50,27,23,329.0,107.18,2,0,H,1.0,0.0,H,18,9,7,1,13,14,4,6,0.0,1,0,0,1.11,0.2,0.97,0.2,2.17,0.51,13.94,13.71,1.4,4.5,8.0,1.45,4.33,8.25,1.4,4.4,7.3,1.42,4.84,9.3,1.4,4.5,8.0,1.4,4.6,10.0,1.39,5.02,10.09
I1,2014-09-14,Cagliari,Atalanta,72,73,73,72,71,73,71,72,36,42,24,26,74.7,83.48,1,2,A,0.0,1.0,A,19,7,9,3,14,21,7,7,4.0,4,0,0,3.01,0.62,2.13,0.59,2.81,0.12,5.6,12.0,2.25,3.4,3.1,2.3,3.2,3.1,2.2,3.2,3.2,2.34,3.48,3.29,2.3,3.2,3.2,2.3,3.4,3.3,2.21,3.56,3.5
I1,2014-09-14,Fiorentina,Genoa,78,73,78,75,78,70,77,72,49,48,25,25,216.13,117.33,0,0,D,0.0,0.0,D,22,6,7,1,13,18,12,3,1.0,3,0,1,2.1,0.23,1.53,0.21,2.7,0.18,5.41,14.0,1.57,3.8,6.0,1.62,4.1,5.5,1.6,3.7,5.4,1.56,4.25,6.98,1.6,3.6,6.0,1.57,4.1,7.0,1.51,4.38,7.66
I1,2014-09-14,Inter,Sassuolo,78,72,78,73,76,70,79,71,44,41,24,26,260.7,91.03,7,0,H,4.0,0.0,H,22,14,11,2,16,12,6,1,0.0,1,0,1,3.97,0.48,1.78,0.29,2.96,0.03,4.69,9.97,1.44,4.33,7.0,1.5,3.85,7.0,1.4,4.4,7.3,1.47,4.59,8.16,1.5,4.0,7.0,1.5,4.3,8.0,1.52,4.61,6.84
I1,2014-09-14,Lazio,Cesena,77,68,78,69,76,65,76,68,36,37,26,25,167.55,34.15,3,0,H,1.0,0.0,H,17,7,6,1,26,10,7,1,3.0,1,0,0,1.55,0.15,1.35,0.11,2.53,0.28,5.17,23.08,1.33,5.0,9.0,1.35,4.5,9.5,1.4,4.4,7.3,1.35,5.17,11.74,1.36,4.5,9.0,1.33,5.0,12.0,1.35,5.15,12.01
I1,2014-09-14,Napoli,Chievo,78,72,80,73,79,73,75,71,34,40,26,27,262.18,62.05,0,1,A,0.0,0.0,D,33,8,9,1,14,12,15,2,2.0,2,0,0,2.21,0.67,1.16,0.62,2.48,0.36,3.89,13.68,1.36,4.75,8.0,1.4,4.5,7.5,1.35,4.8,7.6,1.39,4.93,10.3,1.36,4.5,9.0,1.36,5.0,11.0,1.33,5.44,11.59
I1,2014-09-14,Parma,AC Milan,73,78,75,78,70,78,73,77,55,47,25,25,65.95,236.13,4,5,A,1.0,3.0,A,11,11,3,7,24,12,5,4,3.0,1,1,1,1.43,3.78,1.27,1.62,0.17,2.75,11.54,14.59,2.7,3.2,2.6,2.9,3.4,2.5,2.65,3.3,2.5,2.96,3.42,2.56,2.8,3.1,2.62,2.9,3.3,2.62,2.94,3.32,2.65
I1,2014-09-14,Sampdoria,Torino,72,75,72,78,72,73,71,76,41,45,25,26,132.229999,82.58,2,0,H,1.0,0.0,H,8,10,4,0,18,17,3,5,3.0,4,0,0,0.42,0.39,0.12,0.34,1.28,1.21,10.71,10.35,2.4,3.1,3.1,2.55,3.2,2.95,2.3,3.2,3.0,2.5,3.22,3.24,2.5,3.0,3.0,2.55,3.1,3.2,2.47,3.2,3.3
I1,2014-09-15,Verona,Palermo,72,70,71,68,71,68,70,70,38,40,26,24,41.8,92.6,2,1,H,1.0,1.0,D,14,18,5,4,9,12,10,5,4.0,2,0,0,2.1,1.39,1.04,0.59,1.95,0.8,10.17,8.82,2.2,3.3,3.3,2.25,3.25,3.5,2.2,3.2,3.2,2.2,3.44,3.64,2.2,3.3,3.3,2.2,3.3,3.7,2.1,3.47,3.9
I1,2014-09-20,Cesena,Empoli,68,68,69,69,68,67,66,67,37,40,25,23,34.15,54.03,2,2,D,2.0,0.0,H,8,18,5,6,20,9,3,7,4.0,1,0,0,2.04,2.58,0.87,0.83,1.0,1.74,14.25,9.94,2.8,3.0,2.7,2.75,3.2,2.75,2.6,3.2,2.6,2.92,3.09,2.83,2.8,3.0,2.7,2.9,3.0,2.8,2.97,3.15,2.73
I1,2014-09-20,AC Milan,Juventus,78,81,79,83,78,80,77,80,47,35,25,27,236.13,329.0,0,1,A,0.0,0.0,D,9,14,3,4,9,18,3,4,2.0,3,0,0,0.28,1.44,0.2,1.36,0.37,2.42,10.69,7.13,3.2,3.3,2.25,3.1,3.4,2.35,2.9,3.3,2.3,3.46,3.29,2.34,3.2,3.2,2.3,3.4,3.25,2.38,3.43,3.26,2.37
